_dim1_member,_dim2_member,_dim3_member,_dim4_member,_dim_5_member,_value,_etl_id
Gimli,Isengard,No Ring,TA 3018,Dwarf,670,
Gimli,Minas Tirith,No Ring,TA 3018,Dwarf,680,
Gimli,Gladden Fields,No Ring,TA 3018,Dwarf,690,
Gimli,Pelennor Fields,No Ring,TA 3018,Dwarf,700,
Gimli,Minas Morgul,No Ring,TA 3018,Dwarf,710,
Gimli,Edoras,No Ring,TA 3018,Dwarf,720,
Gimli,Minas Tirith,No Ring,TA 3019,Dwarf,730,
Gimli,Gladden Fields,No Ring,TA 3019,Dwarf,740,
Gimli,Pelennor Fields,No Ring,TA 3019,Dwarf,750,
Gimli,Minas Morgul,No Ring,TA 3019,Dwarf,760,
Gimli,Edoras,No Ring,TA 3019,Dwarf,770,
Gimli,Minas Tirith,No Ring,TA 3020,Dwarf,780,
Gimli,Gladden Fields,No Ring,TA 3020,Dwarf,790,
Gimli,Pelennor Fields,No Ring,TA 3020,Dwarf,800,
Gimli,Minas Morgul,No Ring,TA 3020,Dwarf,810,
Gimli,Edoras,No Ring,TA 3020,Dwarf,820,
Gimli,Minas Tirith,No Ring,TA 3021,Dwarf,830,
Gimli,Gladden Fields,No Ring,TA 3021,Dwarf,840,
Gimli,Pelennor Fields,No Ring,TA 3021,Dwarf,850,
Gimli,Minas Morgul,No Ring,TA 3021,Dwarf,860,
Gimli,Edoras,No Ring,TA 3021,Dwarf,870,
Boromir,Isengard,No Ring,TA 3018,Human,880,
Boromir,Edoras,No Ring,TA 3018,Human,890,
Boromir,Helms Deep,No Ring,TA 3018,Human,900,
Boromir,Hornburg,No Ring,TA 3018,Human,910,
Boromir,Westfold,No Ring,TA 3018,Human,920,
Boromir,Hobbiton,No Ring,TA 3018,Human,930,
Boromir,Bag End,No Ring,TA 3018,Human,940,
Boromir,Buckleberry Ferry,No Ring,TA 3018,Human,950,
Boromir,Bree,No Ring,TA 3018,Human,960,
Boromir,Dead Marshes,No Ring,TA 3018,Human,970,
Boromir,Moria,No Ring,TA 3018,Human,980,
Boromir,Barad-dur,No Ring,TA 3018,Human,990,
Boromir,Mount Doom,No Ring,TA 3018,Human,1000,
Boromir,Minas Morgul,No Ring,TA 3018,Human,1010,
Boromir,Lothlorien,No Ring,TA 3018,Human,1020,
Boromir,Minas Tirith,No Ring,TA 3018,Human,1030,
Boromir,Pelennor Fields,No Ring,TA 3018,Human,1040,
Boromir,Gladden Fields,No Ring,TA 3018,Human,1050,
Boromir,Fangorn Forest,No Ring,TA 3018,Human,1060,
Boromir,Rivendell,No Ring,TA 3018,Human,1070,
Boromir,Isengard,No Ring,TA 3019,Human,1080,
Boromir,Edoras,No Ring,TA 3019,Human,1090,
Boromir,Helms Deep,No Ring,TA 3019,Human,1100,
Boromir,Hornburg,No Ring,TA 3019,Human,1110,
Boromir,Westfold,No Ring,TA 3019,Human,1120,
Boromir,Hobbiton,No Ring,TA 3019,Human,1130,
Boromir,Bag End,No Ring,TA 3019,Human,1140,
Boromir,Buckleberry Ferry,No Ring,TA 3019,Human,1150,
Boromir,Bree,No Ring,TA 3019,Human,1160,
Boromir,Dead Marshes,No Ring,TA 3019,Human,1170,
Boromir,Moria,No Ring,TA 3019,Human,1180,
Boromir,Barad-dur,No Ring,TA 3019,Human,1190,
Boromir,Mount Doom,No Ring,TA 3019,Human,1200,
Boromir,Minas Morgul,No Ring,TA 3019,Human,1210,
Boromir,Lothlorien,No Ring,TA 3019,Human,1220,
Boromir,Minas Tirith,No Ring,TA 3019,Human,1230,
Boromir,Pelennor Fields,No Ring,TA 3019,Human,1240,
Boromir,Gladden Fields,No Ring,TA 3019,Human,1250,
Boromir,Fangorn Forest,No Ring,TA 3019,Human,1260,
Boromir,Rivendell,No Ring,TA 3019,Human,1270,
Boromir,Isengard,No Ring,TA 3020,Human,1280,
Boromir,Edoras,No Ring,TA 3020,Human,1290,
Boromir,Helms Deep,No Ring,TA 3020,Human,1300,
Boromir,Hornburg,No Ring,TA 3020,Human,1310,
Boromir,Westfold,No Ring,TA 3020,Human,1320,
Boromir,Hobbiton,No Ring,TA 3020,Human,1330,
Boromir,Bag End,No Ring,TA 3020,Human,1340,
Boromir,Buckleberry Ferry,No Ring,TA 3020,Human,1350,
Boromir,Bree,No Ring,TA 3020,Human,1360,
Boromir,Dead Marshes,No Ring,TA 3020,Human,1370,
Boromir,Moria,No Ring,TA 3020,Human,1380,
Boromir,Barad-dur,No Ring,TA 3020,Human,1390,
Boromir,Mount Doom,No Ring,TA 3020,Human,1400,
Boromir,Minas Morgul,No Ring,TA 3020,Human,1410,
Boromir,Lothlorien,No Ring,TA 3020,Human,1420,
Boromir,Minas Tirith,No Ring,TA 3020,Human,1430,
Boromir,Pelennor Fields,No Ring,TA 3020,Human,1440,
Boromir,Gladden Fields,No Ring,TA 3020,Human,1450,
Boromir,Fangorn Forest,No Ring,TA 3020,Human,1460,
Boromir,Rivendell,No Ring,TA 3020,Human,1470,
Boromir,Isengard,No Ring,TA 3021,Human,1480,
Boromir,Edoras,No Ring,TA 3021,Human,1490,
Boromir,Helms Deep,No Ring,TA 3021,Human,1500,
Boromir,Hornburg,No Ring,TA 3021,Human,1510,
Boromir,Westfold,No Ring,TA 3021,Human,1520,
Boromir,Hobbiton,No Ring,TA 3021,Human,1530,
Boromir,Bag End,No Ring,TA 3021,Human,1540,
Boromir,Buckleberry Ferry,No Ring,TA 3021,Human,1550,
Boromir,Bree,No Ring,TA 3021,Human,1560,
Boromir,Dead Marshes,No Ring,TA 3021,Human,1570,
Boromir,Moria,No Ring,TA 3021,Human,1580,
Boromir,Barad-dur,No Ring,TA 3021,Human,1590,
Boromir,Mount Doom,No Ring,TA 3021,Human,1600,
Boromir,Minas Morgul,No Ring,TA 3021,Human,1610,
Boromir,Lothlorien,No Ring,TA 3021,Human,1620,
Boromir,Minas Tirith,No Ring,TA 3021,Human,1630,
Boromir,Pelennor Fields,No Ring,TA 3021,Human,1640,
Boromir,Gladden Fields,No Ring,TA 3021,Human,1650,
Boromir,Fangorn Forest,No Ring,TA 3021,Human,1660,
Boromir,Rivendell,No Ring,TA 3021,Human,1670,
Sauron,Mount Doom,The One Ring,TA 3018,Unmapped,1680,
Sauron,Mount Doom,The One Ring,TA 3019,Unmapped,1690,
Sauron,Mount Doom,The One Ring,TA 3020,Unmapped,1700,
Sauron,Mount Doom,No Ring,TA 3021,Unmapped,1710,
Gollum,Dead Marshes,No Ring,TA 3018,Human,1720,
Gollum,Moria,The One Ring,TA 3018,Unmapped,1730,
Gollum,Mount Doom,The One Ring,TA 3018,Unmapped,1740,
Gollum,Minas Morgul,The One Ring,TA 3018,Unmapped,1750,
Gollum,Bag End,The One Ring,TA 3018,Unmapped,1760,
Gollum,Moria,The One Ring,TA 3019,Unmapped,1770,
Gollum,Mount Doom,The One Ring,TA 3019,Unmapped,1780,
Gollum,Minas Morgul,The One Ring,TA 3019,Unmapped,1790,
Gollum,Bag End,The One Ring,TA 3019,Unmapped,1800,
Gollum,Moria,The One Ring,TA 3020,Unmapped,1810,
Gollum,Mount Doom,The One Ring,TA 3020,Unmapped,1820,
Gollum,Minas Morgul,The One Ring,TA 3020,Unmapped,1830,
Gollum,Bag End,The One Ring,TA 3020,Unmapped,1840,
Faramir,Isengard,No Ring,TA 3018,Human,1850,
Faramir,Edoras,No Ring,TA 3018,Human,1860,
Faramir,Helms Deep,No Ring,TA 3018,Human,1870,
Faramir,Hornburg,No Ring,TA 3018,Human,1880,
Faramir,Westfold,No Ring,TA 3018,Human,1890,
Faramir,Hobbiton,No Ring,TA 3018,Human,1900,
Faramir,Bag End,No Ring,TA 3018,Human,1910,
Faramir,Buckleberry Ferry,No Ring,TA 3018,Human,1920,
Faramir,Bree,No Ring,TA 3018,Human,1930,
Faramir,Dead Marshes,No Ring,TA 3018,Human,1940,
Faramir,Moria,No Ring,TA 3018,Human,1950,
Faramir,Barad-dur,No Ring,TA 3018,Human,1960,
Faramir,Mount Doom,No Ring,TA 3018,Human,1970,
Faramir,Minas Morgul,No Ring,TA 3018,Human,1980,
Faramir,Lothlorien,No Ring,TA 3018,Human,1990,
Faramir,Minas Tirith,No Ring,TA 3018,Human,2000,
Faramir,Pelennor Fields,No Ring,TA 3018,Human,2010,
Faramir,Gladden Fields,No Ring,TA 3018,Human,2020,
Faramir,Fangorn Forest,No Ring,TA 3018,Human,2030,
Faramir,Rivendell,No Ring,TA 3018,Human,2040,
Faramir,Isengard,No Ring,TA 3019,Human,2050,
Faramir,Edoras,No Ring,TA 3019,Human,2060,
Faramir,Helms Deep,No Ring,TA 3019,Human,2070,
Faramir,Hornburg,No Ring,TA 3019,Human,2080,
Faramir,Westfold,No Ring,TA 3019,Human,2090,
Faramir,Hobbiton,No Ring,TA 3019,Human,2100,
Faramir,Bag End,No Ring,TA 3019,Human,2110,
Faramir,Buckleberry Ferry,No Ring,TA 3019,Human,2120,
Faramir,Bree,No Ring,TA 3019,Human,2130,
Faramir,Dead Marshes,No Ring,TA 3019,Human,2140,
Faramir,Moria,No Ring,TA 3019,Human,2150,
Faramir,Barad-dur,No Ring,TA 3019,Human,2160,
Faramir,Mount Doom,No Ring,TA 3019,Human,2170,
Faramir,Minas Morgul,No Ring,TA 3019,Human,2180,
Faramir,Lothlorien,No Ring,TA 3019,Human,2190,
Faramir,Minas Tirith,No Ring,TA 3019,Human,2200,
Faramir,Pelennor Fields,No Ring,TA 3019,Human,2210,
Faramir,Gladden Fields,No Ring,TA 3019,Human,2220,
Faramir,Fangorn Forest,No Ring,TA 3019,Human,2230,
Faramir,Rivendell,No Ring,TA 3019,Human,2240,
Faramir,Isengard,No Ring,TA 3020,Human,2250,
Faramir,Edoras,No Ring,TA 3020,Human,2260,
Faramir,Helms Deep,No Ring,TA 3020,Human,2270,
Faramir,Hornburg,No Ring,TA 3020,Human,2280,
Faramir,Westfold,No Ring,TA 3020,Human,2290,
Faramir,Hobbiton,No Ring,TA 3020,Human,2300,
Faramir,Bag End,No Ring,TA 3020,Human,2310,
Faramir,Buckleberry Ferry,No Ring,TA 3020,Human,2320,
Faramir,Bree,No Ring,TA 3020,Human,2330,
Faramir,Dead Marshes,No Ring,TA 3020,Human,2340,
Faramir,Moria,No Ring,TA 3020,Human,2350,
Faramir,Barad-dur,No Ring,TA 3020,Human,2360,
Faramir,Mount Doom,No Ring,TA 3020,Human,2370,
Faramir,Minas Morgul,No Ring,TA 3020,Human,2380,
Faramir,Lothlorien,No Ring,TA 3020,Human,2390,
Faramir,Minas Tirith,No Ring,TA 3020,Human,2400,
Faramir,Pelennor Fields,No Ring,TA 3020,Human,2410,
Faramir,Gladden Fields,No Ring,TA 3020,Human,2420,
Faramir,Fangorn Forest,No Ring,TA 3020,Human,2430,
Faramir,Rivendell,No Ring,TA 3020,Human,2440,
Faramir,Isengard,No Ring,TA 3021,Human,2450,
Faramir,Edoras,No Ring,TA 3021,Human,2460,
Faramir,Helms Deep,No Ring,TA 3021,Human,2470,
Faramir,Hornburg,No Ring,TA 3021,Human,2480,
Faramir,Westfold,No Ring,TA 3021,Human,2490,
Faramir,Hobbiton,No Ring,TA 3021,Human,2500,
Faramir,Bag End,No Ring,TA 3021,Human,2510,
Faramir,Buckleberry Ferry,No Ring,TA 3021,Human,2520,
Faramir,Bree,No Ring,TA 3021,Human,2530,
Faramir,Dead Marshes,No Ring,TA 3021,Human,2540,
Faramir,Moria,No Ring,TA 3021,Human,2550,
Faramir,Barad-dur,No Ring,TA 3021,Human,2560,
Faramir,Mount Doom,No Ring,TA 3021,Human,2570,
Faramir,Minas Morgul,No Ring,TA 3021,Human,2580,
Faramir,Lothlorien,No Ring,TA 3021,Human,2590,
Faramir,Minas Tirith,No Ring,TA 3021,Human,2600,
Faramir,Pelennor Fields,No Ring,TA 3021,Human,2610,
Faramir,Gladden Fields,No Ring,TA 3021,Human,2620,
Faramir,Fangorn Forest,No Ring,TA 3021,Human,2630,
Faramir,Rivendell,No Ring,TA 3021,Human,2640,
Bilbo Baggins,Isengard,The One Ring,TA 3018,Hobbit,2650,
Bilbo Baggins,Edoras,The One Ring,TA 3018,Hobbit,2660,
Bilbo Baggins,Helms Deep,The One Ring,TA 3018,Hobbit,2670,
Bilbo Baggins,Hornburg,The One Ring,TA 3018,Hobbit,2680,
Bilbo Baggins,Westfold,The One Ring,TA 3018,Hobbit,2690,
Bilbo Baggins,Hobbiton,The One Ring,TA 3018,Hobbit,2700,
Bilbo Baggins,Bag End,The One Ring,TA 3018,Hobbit,2710,
Bilbo Baggins,Buckleberry Ferry,The One Ring,TA 3018,Hobbit,2720,
Bilbo Baggins,Bree,The One Ring,TA 3018,Hobbit,2730,
Bilbo Baggins,Dead Marshes,The One Ring,TA 3018,Hobbit,2740,
Bilbo Baggins,Moria,The One Ring,TA 3018,Hobbit,2750,
Bilbo Baggins,Barad-dur,The One Ring,TA 3018,Hobbit,2760,
Bilbo Baggins,Mount Doom,The One Ring,TA 3018,Hobbit,2770,
Bilbo Baggins,Minas Morgul,The One Ring,TA 3018,Hobbit,2780,
Bilbo Baggins,Lothlorien,The One Ring,TA 3018,Hobbit,2790,
Bilbo Baggins,Minas Tirith,The One Ring,TA 3018,Hobbit,2800,
Bilbo Baggins,Pelennor Fields,The One Ring,TA 3018,Hobbit,2810,
Bilbo Baggins,Gladden Fields,The One Ring,TA 3018,Hobbit,2820,
Bilbo Baggins,Fangorn Forest,The One Ring,TA 3018,Hobbit,2830,
Bilbo Baggins,Rivendell,The One Ring,TA 3018,Hobbit,2840,
Bilbo Baggins,Isengard,The One Ring,TA 3019,Hobbit,2850,
Bilbo Baggins,Edoras,The One Ring,TA 3019,Hobbit,2860,
Bilbo Baggins,Helms Deep,The One Ring,TA 3019,Hobbit,2870,
Bilbo Baggins,Hornburg,The One Ring,TA 3019,Hobbit,2880,
Bilbo Baggins,Westfold,The One Ring,TA 3019,Hobbit,2890,
Bilbo Baggins,Hobbiton,The One Ring,TA 3019,Hobbit,2900,
Bilbo Baggins,Bag End,The One Ring,TA 3019,Hobbit,2910,
Bilbo Baggins,Buckleberry Ferry,The One Ring,TA 3019,Hobbit,2920,
Bilbo Baggins,Bree,The One Ring,TA 3019,Hobbit,2930,
Bilbo Baggins,Dead Marshes,The One Ring,TA 3019,Hobbit,2940,
Bilbo Baggins,Moria,The One Ring,TA 3019,Hobbit,2950,
Bilbo Baggins,Barad-dur,The One Ring,TA 3019,Hobbit,2960,
Bilbo Baggins,Mount Doom,The One Ring,TA 3019,Hobbit,2970,
Bilbo Baggins,Minas Morgul,The One Ring,TA 3019,Hobbit,2980,
Bilbo Baggins,Lothlorien,The One Ring,TA 3019,Hobbit,2990,
Bilbo Baggins,Minas Tirith,The One Ring,TA 3019,Hobbit,3000,
Bilbo Baggins,Pelennor Fields,The One Ring,TA 3019,Hobbit,3010,
Bilbo Baggins,Gladden Fields,The One Ring,TA 3019,Hobbit,3020,
Bilbo Baggins,Fangorn Forest,The One Ring,TA 3019,Hobbit,3030,
Bilbo Baggins,Rivendell,The One Ring,TA 3019,Hobbit,3040,
Bilbo Baggins,Isengard,The One Ring,TA 3020,Hobbit,3050,
Bilbo Baggins,Edoras,The One Ring,TA 3020,Hobbit,3060,
Bilbo Baggins,Helms Deep,The One Ring,TA 3020,Hobbit,3070,
Bilbo Baggins,Hornburg,The One Ring,TA 3020,Hobbit,3080,
Bilbo Baggins,Westfold,The One Ring,TA 3020,Hobbit,3090,
Bilbo Baggins,Hobbiton,The One Ring,TA 3020,Hobbit,3100,
Bilbo Baggins,Bag End,The One Ring,TA 3020,Hobbit,3110,
Bilbo Baggins,Buckleberry Ferry,The One Ring,TA 3020,Hobbit,3120,
Bilbo Baggins,Bree,The One Ring,TA 3020,Hobbit,3130,
Bilbo Baggins,Dead Marshes,The One Ring,TA 3020,Hobbit,3140,
Bilbo Baggins,Moria,The One Ring,TA 3020,Hobbit,3150,
Bilbo Baggins,Barad-dur,The One Ring,TA 3020,Hobbit,3160,
Bilbo Baggins,Mount Doom,The One Ring,TA 3020,Hobbit,3170,
Bilbo Baggins,Minas Morgul,The One Ring,TA 3020,Hobbit,3180,
Bilbo Baggins,Lothlorien,The One Ring,TA 3020,Hobbit,3190,
Bilbo Baggins,Minas Tirith,The One Ring,TA 3020,Hobbit,3200,
Bilbo Baggins,Pelennor Fields,The One Ring,TA 3020,Hobbit,3210,
Bilbo Baggins,Gladden Fields,The One Ring,TA 3020,Hobbit,3220,
Bilbo Baggins,Fangorn Forest,The One Ring,TA 3020,Hobbit,3230,
Bilbo Baggins,Rivendell,The One Ring,TA 3020,Hobbit,3240,
Bilbo Baggins,Isengard,The One Ring,TA 3021,Hobbit,3250,
Bilbo Baggins,Edoras,The One Ring,TA 3021,Hobbit,3260,
Bilbo Baggins,Helms Deep,The One Ring,TA 3021,Hobbit,3270,
Bilbo Baggins,Hornburg,The One Ring,TA 3021,Hobbit,3280,
Bilbo Baggins,Westfold,The One Ring,TA 3021,Hobbit,3290,
Bilbo Baggins,Hobbiton,The One Ring,TA 3021,Hobbit,3300,
Bilbo Baggins,Bag End,The One Ring,TA 3021,Hobbit,3310,
Bilbo Baggins,Buckleberry Ferry,The One Ring,TA 3021,Hobbit,3320,
Bilbo Baggins,Bree,The One Ring,TA 3021,Hobbit,3330,
Bilbo Baggins,Dead Marshes,The One Ring,TA 3021,Hobbit,3340,
Bilbo Baggins,Moria,The One Ring,TA 3021,Hobbit,3350,
Bilbo Baggins,Barad-dur,The One Ring,TA 3021,Hobbit,3360,
Bilbo Baggins,Mount Doom,The One Ring,TA 3021,Hobbit,3370,
Bilbo Baggins,Minas Morgul,The One Ring,TA 3021,Hobbit,3380,
Bilbo Baggins,Lothlorien,The One Ring,TA 3021,Hobbit,3390,
Bilbo Baggins,Minas Tirith,The One Ring,TA 3021,Hobbit,3400,
Bilbo Baggins,Pelennor Fields,The One Ring,TA 3021,Hobbit,3410,
Bilbo Baggins,Gladden Fields,The One Ring,TA 3021,Hobbit,3420,
Bilbo Baggins,Fangorn Forest,The One Ring,TA 3021,Hobbit,3430,
Bilbo Baggins,Rivendell,The One Ring,TA 3021,Hobbit,3440,
Elrond,Isengard,No Ring,TA 3018,Elf,3450,
Elrond,Edoras,No Ring,TA 3018,Elf,3460,
Elrond,Helms Deep,No Ring,TA 3018,Elf,3470,
Elrond,Hornburg,No Ring,TA 3018,Elf,3480,
Elrond,Westfold,No Ring,TA 3018,Elf,3490,
Elrond,Hobbiton,No Ring,TA 3018,Elf,3500,
Elrond,Bag End,No Ring,TA 3018,Elf,3510,
Elrond,Buckleberry Ferry,No Ring,TA 3018,Elf,3520,
Elrond,Bree,No Ring,TA 3018,Elf,3530,
Elrond,Dead Marshes,No Ring,TA 3018,Elf,3540,
Elrond,Moria,No Ring,TA 3018,Elf,3550,
Elrond,Barad-dur,No Ring,TA 3018,Elf,3560,
Elrond,Mount Doom,No Ring,TA 3018,Elf,3570,
Elrond,Minas Morgul,No Ring,TA 3018,Elf,3580,
Elrond,Lothlorien,No Ring,TA 3018,Elf,3590,
Elrond,Minas Tirith,No Ring,TA 3018,Elf,3600,
Elrond,Pelennor Fields,No Ring,TA 3018,Elf,3610,
Elrond,Gladden Fields,No Ring,TA 3018,Elf,3620,
Elrond,Fangorn Forest,No Ring,TA 3018,Elf,3630,
Elrond,Rivendell,No Ring,TA 3018,Elf,3640,
Elrond,Isengard,No Ring,TA 3019,Elf,3650,
Elrond,Edoras,No Ring,TA 3019,Elf,3660,
Elrond,Helms Deep,No Ring,TA 3019,Elf,3670,
Elrond,Hornburg,No Ring,TA 3019,Elf,3680,
Elrond,Westfold,No Ring,TA 3019,Elf,3690,
Elrond,Hobbiton,No Ring,TA 3019,Elf,3700,
Elrond,Bag End,No Ring,TA 3019,Elf,3710,
Elrond,Buckleberry Ferry,No Ring,TA 3019,Elf,3720,
Elrond,Bree,No Ring,TA 3019,Elf,3730,
Elrond,Dead Marshes,No Ring,TA 3019,Elf,3740,
Elrond,Moria,No Ring,TA 3019,Elf,3750,
Elrond,Barad-dur,No Ring,TA 3019,Elf,3760,
Elrond,Mount Doom,No Ring,TA 3019,Elf,3770,
Elrond,Minas Morgul,No Ring,TA 3019,Elf,3780,
Elrond,Lothlorien,No Ring,TA 3019,Elf,3790,
Elrond,Minas Tirith,No Ring,TA 3019,Elf,3800,
Elrond,Pelennor Fields,No Ring,TA 3019,Elf,3810,
Elrond,Gladden Fields,No Ring,TA 3019,Elf,3820,
Elrond,Fangorn Forest,No Ring,TA 3019,Elf,3830,
Elrond,Rivendell,No Ring,TA 3019,Elf,3840,
Elrond,Isengard,No Ring,TA 3020,Elf,3850,
Elrond,Edoras,No Ring,TA 3020,Elf,3860,
Elrond,Helms Deep,No Ring,TA 3020,Elf,3870,
Elrond,Hornburg,No Ring,TA 3020,Elf,3880,
Elrond,Westfold,No Ring,TA 3020,Elf,3890,
Elrond,Hobbiton,No Ring,TA 3020,Elf,3900,
Elrond,Bag End,No Ring,TA 3020,Elf,3910,
Elrond,Buckleberry Ferry,No Ring,TA 3020,Elf,3920,
Elrond,Bree,No Ring,TA 3020,Elf,3930,
Elrond,Dead Marshes,No Ring,TA 3020,Elf,3940,
Elrond,Moria,No Ring,TA 3020,Elf,3950,
Elrond,Barad-dur,No Ring,TA 3020,Elf,3960,
Elrond,Mount Doom,No Ring,TA 3020,Elf,3970,
Elrond,Minas Morgul,No Ring,TA 3020,Elf,3980,
Elrond,Lothlorien,No Ring,TA 3020,Elf,3990,
Elrond,Minas Tirith,No Ring,TA 3020,Elf,4000,
Elrond,Pelennor Fields,No Ring,TA 3020,Elf,4010,
Elrond,Gladden Fields,No Ring,TA 3020,Elf,4020,
Elrond,Fangorn Forest,No Ring,TA 3020,Elf,4030,
Elrond,Rivendell,No Ring,TA 3020,Elf,4040,
Elrond,Isengard,No Ring,TA 3021,Elf,4050,
Elrond,Edoras,No Ring,TA 3021,Elf,4060,
Elrond,Helms Deep,No Ring,TA 3021,Elf,4070,
Elrond,Hornburg,No Ring,TA 3021,Elf,4080,
Elrond,Westfold,No Ring,TA 3021,Elf,4090,
Elrond,Hobbiton,No Ring,TA 3021,Elf,4100,
Elrond,Bag End,No Ring,TA 3021,Elf,4110,
Elrond,Buckleberry Ferry,No Ring,TA 3021,Elf,4120,
Elrond,Bree,No Ring,TA 3021,Elf,4130,
Elrond,Dead Marshes,No Ring,TA 3021,Elf,4140,
Elrond,Moria,No Ring,TA 3021,Elf,4150,
Elrond,Barad-dur,No Ring,TA 3021,Elf,4160,
Elrond,Mount Doom,No Ring,TA 3021,Elf,4170,
Elrond,Minas Morgul,No Ring,TA 3021,Elf,4180,
Elrond,Lothlorien,No Ring,TA 3021,Elf,4190,
Elrond,Minas Tirith,No Ring,TA 3021,Elf,4200,
Elrond,Pelennor Fields,No Ring,TA 3021,Elf,4210,
Elrond,Gladden Fields,No Ring,TA 3021,Elf,4220,
Elrond,Fangorn Forest,No Ring,TA 3021,Elf,4230,
Elrond,Rivendell,No Ring,TA 3021,Elf,4240,
Treebeard,Fangorn Forest,No Ring,TA 3018,Ent,4250,
Arwen Evenstar,Isengard,No Ring,TA 3018,Elf,4260,
Arwen Evenstar,Edoras,No Ring,TA 3018,Elf,4270,
Arwen Evenstar,Helms Deep,No Ring,TA 3018,Elf,4280,
